"id","host_id","host_since","host_is_superhost","host_listings_count","property_type","room_type","price","last_review","number_of_reviews","availability_30","review_scores_rating","City"
26114794,196309877,2018-06-18,0,2,"Entire apartment","Entire home/apt",500,2020-09-01,40,0,92,"Paris"
38082672,45513122,2015-10-01,0,1,"Entire condominium","Entire home/apt",80,2019-10-04,2,30,60,"Paris"
29128466,89773966,2016-08-14,0,2,"Entire apartment","Entire home/apt",28,2019-08-19,22,0,90,"Paris"
36728867,276069052,2019-07-14,0,0,"Entire apartment","Entire home/apt",48,2019-10-11,8,0,98,"Paris"
21374098,84994245,2016-07-20,0,1,"Entire apartment","Entire home/apt",60,2020-08-23,28,0,89,"Paris"
12241478,65882935,2016-04-05,0,1,"Entire apartment","Entire home/apt",35,2019-09-14,20,0,92,"Paris"
2154626,1736955,2012-02-11,0,1,"Entire apartment","Entire home/apt",59,2019-12-28,11,0,96,"Paris"
30562894,229120477,2018-12-04,0,1,"Entire apartment","Entire home/apt",63,2019-12-30,3,30,100,"Paris"
18308444,17811415,2014-07-08,1,1,"Entire apartment","Entire home/apt",79,2020-03-13,69,28,99,"Paris"
19919532,111226346,2017-01-13,0,1,"Entire apartment","Entire home/apt",70,2019-05-21,17,0,96,"Paris"
2330517,9835619,2013-11-05,0,1,"Private room in apartment","Private room",60,2019-11-24,76,30,93,"Paris"
8377497,9073314,2013-09-26,0,1,"Entire apartment","Entire home/apt",90,2019-11-11,23,0,93,"Paris"
6459797,33735767,2015-05-19,0,1,"Entire apartment","Entire home/apt",90,2019-08-27,36,0,96,"Paris"
40938859,178101085,2018-03-12,0,2,"Private room in apartment","Private room",20,2020-01-02,1,0,20,"Paris"
6311554,32833534,2015-05-07,0,1,"Entire apartment","Entire home/apt",109,2019-10-03,11,16,92,"Paris"
1202788,6569776,2013-05-25,0,1,"Entire apartment","Entire home/apt",69,2019-06-28,29,0,97,"Paris"
41789393,346864840,2020-05-20,0,1,"Entire apartment","Entire home/apt",78,2020-05-29,5,0,96,"Paris"
4132978,7608379,2013-07-20,1,38,"Room in serviced apartment","Hotel room",275,2020-09-25,86,29,93,"Paris"
19881615,140702900,2017-07-16,0,1,"Entire house","Entire home/apt",32,2019-10-06,21,0,94,"Paris"
32805479,246780051,2019-03-04,0,3,"Room in boutique hotel","Hotel room",50,2020-10-03,10,29,94,"Paris"
874864,4618140,2013-01-07,0,1,"Entire apartment","Entire home/apt",120,2020-02-16,86,0,96,"Paris"
17957048,312189009,2019-11-26,0,5,"Entire apartment","Entire home/apt",79,2019-07-28,2,28,100,"Paris"
13104578,12136845,2014-02-11,1,21,"Entire apartment","Entire home/apt",72,2020-09-20,130,28,96,"Paris"
36630463,138391467,2017-07-03,0,22,"Entire apartment","Entire home/apt",59,2019-08-16,2,0,70,"Paris"
39854903,5575916,2013-03-22,0,0,"Entire apartment","Entire home/apt",100,2020-01-20,5,28,100,"Paris"
41535547,327181023,2020-01-13,0,1,"Entire apartment","Entire home/apt",45,2020-03-08,9,0,77,"Paris"
32799522,22917995,2014-10-24,0,1,"Entire apartment","Entire home/apt",61,2020-10-19,47,23,88,"Paris"
29557683,95010555,2016-09-13,1,1,"Entire condominium","Entire home/apt",70,2019-10-02,12,0,98,"Paris"
43720230,1251704,2011-10-05,0,53,"Entire apartment","Entire home/apt",64,2020-10-03,8,30,90,"Paris"
37225161,279425782,2019-07-26,0,1,"Entire apartment","Entire home/apt",77,2020-02-23,2,0,90,"Paris"
14313490,87503458,2016-08-02,0,0,"Entire apartment","Entire home/apt",45,2019-09-14,13,0,100,"Paris"
40421040,15804433,2014-05-21,0,0,"Entire apartment","Entire home/apt",230,2020-03-09,4,27,100,"Paris"
12807517,13379474,2014-03-21,0,1,"Entire condominium","Entire home/apt",120,2019-04-26,2,23,90,"Paris"
32659335,97888639,2016-10-04,0,44,"Entire apartment","Entire home/apt",131,2020-10-04,21,29,93,"Paris"
15577583,10352223,2013-11-30,1,1,"Entire apartment","Entire home/apt",95,2020-09-18,27,7,100,"Paris"
21964296,86793878,2016-07-29,1,2,"Entire loft","Entire home/apt",275,2020-01-03,17,0,98,"Paris"
23955726,110427235,2017-01-08,1,1,"Entire apartment","Entire home/apt",95,2019-06-15,36,0,98,"Paris"
33908273,62233369,2016-03-09,1,1,"Private room in apartment","Private room",60,2019-09-25,8,0,98,"Paris"
14876164,93250865,2016-09-03,1,1,"Entire apartment","Entire home/apt",106,2020-10-29,77,30,93,"Paris"
29386023,143646703,2017-08-01,1,3,"Entire condominium","Entire home/apt",143,2020-07-01,61,0,95,"Paris"
33991631,24475834,2014-12-04,0,1,"Entire apartment","Entire home/apt",80,2020-02-24,18,0,91,"Paris"
33284180,28979657,2015-03-08,0,1,"Entire apartment","Entire home/apt",35,2019-09-30,6,0,100,"Paris"
32236249,241895228,2019-02-08,1,1,"Entire apartment","Entire home/apt",70,2020-08-31,32,22,97,"Paris"
41977007,332293967,2020-01-31,0,1,"Entire apartment","Entire home/apt",125,2020-10-18,3,0,93,"Paris"
31726195,159829079,2017-11-23,0,2,"Entire apartment","Entire home/apt",52,2020-10-31,5,29,92,"Paris"
23515806,172144941,2018-02-07,1,5,"Room in boutique hotel","Hotel room",110,2020-10-28,74,30,98,"Paris"
1476348,123481,2010-05-12,0,1,"Entire apartment","Entire home/apt",71,2020-02-29,18,22,88,"Paris"
16540292,50978178,2015-12-10,0,156,"Entire apartment","Entire home/apt",96,2020-10-15,47,23,80,"Paris"
8875811,29037764,2015-03-09,0,17,"Entire loft","Entire home/apt",114,2020-02-25,14,0,93,"Paris"
25541538,25126471,2014-12-23,1,1,"Entire apartment","Entire home/apt",33,2019-11-07,32,0,99,"Paris"
40482515,36137139,2015-06-18,1,12,"Entire apartment","Entire home/apt",74,2020-10-03,23,30,98,"Paris"
33213795,138391467,2017-07-03,0,22,"Entire apartment","Entire home/apt",117,2019-11-20,12,0,92,"Paris"
36298735,272986982,2019-07-02,0,1,"Entire apartment","Entire home/apt",77,2020-02-04,8,0,95,"Paris"
45045374,346990661,2020-05-21,0,1,"Entire apartment","Entire home/apt",82,2020-10-25,5,30,92,"Paris"
7923673,41784362,2015-08-18,0,1,"Entire apartment","Entire home/apt",60,2020-09-03,28,23,91,"Paris"
35144578,16128179,2014-05-29,0,2,"Entire apartment","Entire home/apt",59,2019-11-27,3,0,100,"Paris"
11498629,3533986,2012-09-11,1,1,"Entire condominium","Entire home/apt",27,2020-10-23,78,0,91,"Paris"
24539206,3156711,2012-08-04,0,1,"Entire apartment","Entire home/apt",50,2020-11-05,30,14,97,"Paris"
23743378,178038166,2018-03-12,0,1,"Private room in apartment","Private room",60,2019-11-19,6,0,97,"Paris"
34314374,265747224,2019-06-02,0,1,"Private room in condominium","Private room",45,2019-12-06,31,0,98,"Paris"
24839188,33889201,2015-05-21,0,1105,"Entire apartment","Entire home/apt",138,2019-10-21,4,0,90,"Paris"
1211637,5108241,2013-02-16,0,2,"Entire apartment","Entire home/apt",78,2019-08-30,52,28,96,"Paris"
432537,2134754,2012-04-13,0,1,"Entire condominium","Entire home/apt",388,2019-05-31,10,0,92,"Paris"
17918321,8445669,2013-08-27,0,1,"Entire apartment","Entire home/apt",100,2019-08-17,14,0,100,"Paris"
13989065,83505873,2016-07-13,0,0,"Entire apartment","Entire home/apt",69,2019-10-10,264,25,89,"Paris"
40591103,19274149,2014-08-01,0,2,"Entire apartment","Entire home/apt",34,2020-10-22,14,20,94,"Paris"
22622368,147344060,2017-08-23,0,1,"Private room in apartment","Private room",80,2019-12-04,26,0,95,"Paris"
39347005,204676056,2018-07-24,1,19,"Entire apartment","Entire home/apt",115,2020-02-18,3,30,87,"Paris"
20587573,147018685,2017-08-21,0,79,"Entire apartment","Entire home/apt",169,2020-01-02,5,30,76,"Paris"
15447351,33431102,2015-05-15,0,1,"Entire apartment","Entire home/apt",180,2019-11-01,9,0,98,"Paris"
36802820,12419735,2014-02-20,0,0,"Entire apartment","Entire home/apt",80,2019-12-29,1,0,100,"Paris"
38164119,211798327,2018-08-26,0,4,"Private room in apartment","Private room",120,2019-10-02,2,30,100,"Paris"
38198325,82262713,2016-07-07,0,0,"Entire apartment","Entire home/apt",95,2019-10-21,3,0,100,"Paris"
26969819,3679440,2012-09-26,1,2,"Entire apartment","Entire home/apt",135,2020-03-03,38,19,97,"Paris"
30143925,6053288,2013-04-23,0,247,"Entire apartment","Entire home/apt",120,2019-05-18,10,0,94,"Paris"
43925681,14833217,2014-04-28,0,1,"Entire apartment","Entire home/apt",50,2020-09-19,1,0,100,"Paris"
37309832,280862724,2019-07-31,0,1,"Entire apartment","Entire home/apt",38,2019-12-19,7,0,97,"Paris"
29282088,45574882,2015-10-02,0,1,"Entire apartment","Entire home/apt",340,2019-12-30,7,29,94,"Paris"
